gid_nba,game_date,xid_possession,xid_chance,team_nba_off,team_nba_def,period,gameClock_start,gameClock_end,startType,outcome,score_margin,ptsScored_team,shot_fga,shot_fg,shot_fga3,shot_fg3,shot_qSP,shot_m_region,fouls_def,fouls_def_shooting,fta,fta_shooting,team_nba_winner
22101142,3/30/2022,d8d49b51-569b-50a1-b94c-4e2b3e322488,7017dee0-2b75-5b2c-9bea-12b889fb1593,HOU,SAC,4,9.4,0,SLOB,FGX3,-3,0,1,0,1,0,43.65497651,Corner,,,,,SAC
22100500,12/26/2021,e21fdb4f-0773-5256-8fcc-b6e11a6f1c93,f37908ef-de6b-52ac-b74f-2b4fe032c125,LAC,DEN,4,12.7,0.36,FTLINE,FGX3,-3,0,1,0,1,0,17.22916271,ATB,,,,,DEN
22100268,11/24/2021,5a773801-7051-5b20-b8f2-74d253aa2b7d,9d6411c0-3712-5296-9568-a9a327b47c03,IND,LAL,4,22.64,7.22,FTM,FGM3,-3,3,1,1,1,1,34.01393201,Corner,,,,,LAL
22100968,3/7/2022,e26f1715-ba63-5f85-bdcf-12b0db460468,87395be9-c9bd-5945-b631-960b7dcd82f1,ATL,DET,5,2.16,0,FGORB,FGX3,-3,0,1,0,1,0,53.2758603,ATB,,,,,DET
22101014,3/13/2022,9a0c070f-eff6-52b1-bbef-eeccf4b2ad03,04f3b5cb-bb0f-5138-b51e-de84e693c949,BOS,DAL,4,9,4.98,SLOB,FGX3,-3,0,1,0,1,0,31.66711471,ATB,,,,,DAL
22101145,3/30/2022,f8659a48-3ce9-5f8f-9e66-483b2f7dcacb,aa45b075-125b-5818-8029-1d6e0cfd8764,GSW,PHX,4,13.1,12.48,SLOB,FOU_B,-3,2,,,,,,,1,0,2,0,PHX
22100853,2/12/2022,75a5fdab-c60a-5fa6-aaee-1c353293f0d6,6eb7d602-fc86-5921-ab79-66ef8f0f15b7,DAL,LAC,4,21.22,8.06,FGDRB,FGM,-3,2,1,1,0,0,65.55866638,NRA,,,,,LAC
22100489,12/25/2021,2093067e-95bc-589f-b2bf-ee8c990aabaf,53f431cd-c5a1-5d3f-8b47-4c7b8365c770,BOS,MIL,4,17.8,7.34,FTM,FGX,-3,0,1,0,0,0,67.42937004,RA,,,,,MIL
22101014,3/13/2022,9a0c070f-eff6-52b1-bbef-eeccf4b2ad03,ee73f659-91eb-5ee6-b1aa-d2c323468452,BOS,DAL,4,3.5,0,SLOB,FGX3,-3,0,1,0,1,0,30.28039411,ATB,,,,,DAL
22101051,3/18/2022,dfaa85ce-a45b-5f5e-b1e4-c304a44765fe,faa7d9fc-5e60-56bc-aae3-32f22a9f1d65,LAL,TOR,4,8.68,0.44,TO,FGM3,-3,3,1,1,1,1,27.83037765,ATB,,,,,LAL
22101079,3/21/2022,c14fd5e3-4b66-53f4-b495-cbe203231d60,8ac485c6-9cbf-5a75-a938-4040a1e5451f,MIN,DAL,4,10.3,6.56,SLOB,FOU_B,-3,0,,,,,,,1,0,2,0,DAL
22101003,3/11/2022,573dda34-95dd-53e2-8ddb-5c5a30edb716,7d4e4542-2bdd-523b-bbb8-d638f69d2eac,PHX,TOR,4,17.5,13.4,SLOB,FGX3,-3,0,1,0,1,0,46.07712831,ATB,,,,,TOR
22101066,3/20/2022,f721ee12-437b-5351-8bbc-19fc02047e8d,f5a2b43c-bd52-57f6-b89b-cc22ec9c9415,SAC,PHX,5,17.1,15.16,FTM,FOU_B,-3,1,,,,,,,1,0,2,0,PHX
22100510,12/28/2021,9cb012b0-cdbf-5bb4-8dd1-f5729585069e,4f57ee1a-d98c-5a7a-b85b-c57ffe0b21bc,TOR,PHI,4,16.8,6.7,FTM,TO,-3,0,,,,,,,,,,,PHI
22100267,11/24/2021,7e8f261a-22e9-542b-aa94-08bde34a79b6,db2a3a60-8cd3-5772-9268-3b481f8244f1,CLE,PHX,4,17.96,12.64,FGORB,FGX3,-3,0,1,0,1,0,44.89583452,Corner,,,,,PHX
22100363,12/7/2021,73f48d49-96d1-56c6-8880-370c241ab2c1,71434749-141e-5f4a-91e2-c1ba1e4b78cf,DAL,BKN,4,20,14.9,SLOB,FGX3,-3,0,1,0,1,0,38.2590004,ATB,,,,,BKN
22100904,2/25/2022,4f022045-1cef-5f76-9b1b-bc2b24e8c75e,65b24598-07a4-52b5-a2c2-d09162cd02dd,LAL,LAC,4,0.7,0,SLOB,FGX3,-3,0,1,0,1,0,36.12092669,Corner,,,,,LAC
22100946,3/4/2022,c87b2c60-909d-55f6-963d-dd2593f050ac,f1120dca-38b4-5878-8ee3-42d3f71d44e7,IND,DET,4,19.1,11.36,SLOB,FGX3,-3,0,1,0,1,0,58.00138994,Corner,,,,,DET
22100935,3/2/2022,64a789ad-bbbe-5232-81ac-50812124d1f4,07a4d515-f58e-5696-b23d-2369efb5c9aa,HOU,UTA,4,8.3,0,SLOB,FGM3,-3,3,1,1,1,1,40.17051109,ATB,,,,,UTA
22100926,3/1/2022,a4172015-7ffe-5154-8bdd-43a64771456f,741aa326-f40a-586a-9cef-31d343b5ba7d,DET,WAS,4,5.98,0,FGORB,FGX3,-3,0,1,0,1,0,27.48586794,ATB,,,,,WAS
22100721,1/25/2022,c61365c5-2d9e-59f6-a407-c1c7aa4ffd11,abc1e2ed-fc5d-5313-9f1d-233ec14667c5,POR,MIN,4,17.74,10.24,FTDRB,FGM3,-3,3,1,1,1,1,43.11219937,ATB,,,,,MIN
22100081,10/30/2021,25a7778e-fe07-51ab-a021-5f57e735185f,5bdd8e99-bbba-51fa-8e5c-8dfba36164e8,IND,TOR,4,6.2,2.5,FTM,FOU_N,-3,0,,,,,,,1,0,,,TOR
22100266,11/23/2021,337de6b8-e365-53be-8931-e6a1d491f4a6,4497f8be-4267-5819-a542-524de6d583c3,LAC,DAL,4,1.1,0,SLOB,FGM3,-3,3,1,1,1,1,42.00882473,Corner,,,,,DAL
22100167,11/10/2021,9b27bcca-3a84-5623-b3c0-a8658a433cee,f2542dd0-82b6-556d-80de-848abbae4822,IND,DEN,4,2,0,SLOB,FGX3,-3,0,,,,,,,,,,,DEN
